ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
69,2014-11-25T01:33:22.000,6:33:22 PM,113.545,101.425,2901.45,238.662,26891.7,-0.000252165,0.325055,249.3,249.5,188.7,27.3,0,3.02216,6.07971,0.00915527,
70,2014-11-25T01:43:22.000,6:43:22 PM,113.675,101.555,2901.45,239.893,26944.6,-0.000289068,0.325055,248,250.1,188.7,27.2,0,3.02216,6.07971,0.00915527,
71,2014-11-25T01:53:22.000,6:53:22 PM,113.805,101.685,2909.15,238.662,26902.3,-7.99522E-005,0.324811,252.2,249.4,188.8,27.2,0,3.02216,6.07971,0.00915527,
72,2014-11-25T02:03:22.000,7:03:22 PM,113.935,101.815,2906.99,236.815,26768.4,-9.83998E-005,0.325055,251.6,247.7,188.8,27.3,0,2.99927,6.07971,0.00915527,
73,2014-11-25T02:13:22.000,7:13:22 PM,114.065,101.946,2906.07,239.893,26979.8,-5.53504E-005,0.325055,252.2,249.5,188.8,27.4,0,2.99927,6.07971,0.0921631,
74,2014-11-25T02:23:22.000,7:23:22 PM,114.196,102.076,2906.07,236.815,26979.8,-9.83998E-005,0.325055,251.4,249.4,188.8,27.5,0,3.01086,6.07971,0.00915527,
75,2014-11-25T02:33:22.000,7:33:22 PM,114.326,102.206,2891.91,236.815,26803.6,-0.000172205,0.325055,251.6,248.4,188.8,27.4,0,2.99072,6.07971,0.00915527,
76,2014-11-25T02:43:22.000,7:43:22 PM,114.456,102.336,2889.76,235.892,26694.4,-0.000135303,0.325238,252.1,245.3,188.8,27.3,0,2.98798,6.07971,0.00915527,
77,2014-11-25T02:53:22.000,7:53:22 PM,114.586,102.466,2906.99,236.815,26944.6,-9.83998E-005,0.325055,253.2,249.3,188.9,27.5,0,2.96234,6.07971,0.00915527,
78,2014-11-25T03:03:22.000,8:03:22 PM,114.716,102.596,2897.45,236.815,26715.6,-0.000135303,0.325055,249.7,244.3,188.9,27.5,0,3.01544,6.07971,0.00915527,
79,2014-11-25T03:13:22.000,8:13:22 PM,114.846,102.726,2910.99,240.816,27000.9,-0.000153758,0.325055,248.9,249.6,189,27.3,0,2.98431,6.07971,0.00915527,
80,2014-11-25T03:23:22.000,8:23:22 PM,114.976,102.856,2910.07,237.739,26845.9,-0.000172205,0.325238,250.7,247.2,189,27.3,0,3.00995,6.07971,0.00915527,
81,2014-11-25T03:33:22.000,8:33:22 PM,115.106,102.986,2899.3,236.815,26793.1,-0.00019066,0.325055,251,246.7,189,27.5,0,3.01453,6.07971,0.00915527,
82,2014-11-25T03:43:22.000,8:43:22 PM,115.236,103.116,2888.84,236.815,26768.4,-0.000135303,0.325238,250.9,241.7,188.9,27.4,0,3.01086,6.07971,0.00915527,
83,2014-11-25T03:53:22.000,8:53:22 PM,115.366,103.246,2905.15,235.892,26824.8,-0.000116855,0.325055,249.3,249.2,189,27.4,0,2.91565,6.07971,0.00915527,
84,2014-11-25T04:03:22.000,9:03:22 PM,115.496,103.376,2888.84,234.046,26768.4,-0.000153758,0.325055,250.5,246,189.1,27.3,0,3.01544,6.07971,0.00915527,
85,2014-11-25T04:13:22.000,9:13:22 PM,115.626,103.506,2911.92,239.893,26944.6,0.00013531,0.325055,249.7,250,189,27.3,0,2.98035,6.07971,0.00915527,
